Prioridad;Acción;Detalle;Origen;Referencia;Responsable;Fecha límite;Estado;Nota
Alta;Corregir H-01: Repositorio de copias accesible con credenciales de dominio y sin inmutabilidad;Corregir la vulnerabilidad y aportar evidencia del retest para cerrar las no conformidades asociadas.;Evidencia técnica;H-01;Responsable del Sistema;;Pendiente;
Alta;Corregir H-02: Modalidades de imagen alcanzables desde la red de usuarios;Corregir la vulnerabilidad y aportar evidencia del retest para cerrar las no conformidades asociadas.;Evidencia técnica;H-02;Responsable del Sistema;;Pendiente;
Alta;Corregir H-03: Servidor PACS con componente DICOM vulnerable;Corregir la vulnerabilidad y aportar evidencia del retest para cerrar las no conformidades asociadas.;Evidencia técnica;H-03;Responsable del Sistema;;Pendiente;
Alta;Corregir H-04: Credenciales por defecto en la consola de un ecógrafo;Corregir la vulnerabilidad y aportar evidencia del retest para cerrar las no conformidades asociadas.;Evidencia técnica;H-04;Responsable del Sistema;;Pendiente;
Alta;La SoA declara implantada una medida que el análisis de riesgos valora inmadura · mp.com.4;"Revisar una de las dos fuentes: o se rebaja el estado en la SoA con acción PTR, o se actualiza la madurez de la salvaguarda con evidencias.";Auditoría;AR-01 · mp.com.4;;;Pendiente;
Alta;La SoA declara implantada una medida que el análisis de riesgos valora inmadura · mp.per.3;"Revisar una de las dos fuentes: o se rebaja el estado en la SoA con acción PTR, o se actualiza la madurez de la salvaguarda con evidencias.";Auditoría;AR-01 · mp.per.3;;;Pendiente;
Alta;La SoA declara implantada una medida que el análisis de riesgos valora inmadura · mp.per.4;"Revisar una de las dos fuentes: o se rebaja el estado en la SoA con acción PTR, o se actualiza la madurez de la salvaguarda con evidencias.";Auditoría;AR-01 · mp.per.4;;;Pendiente;
Alta;Medida compensada sin registro de medida compensatoria · mp.eq.4;"Registrar la medida compensatoria: ámbito, restricción, riesgo, medida, validación, mantenimiento y aprobación.";Auditoría;MC-01 · mp.eq.4;;;Pendiente;
Alta;Refuerzo exigido no contemplado · op.exp.8 R5;Incorporar el refuerzo a la implantación o justificar una medida compensatoria.;Auditoría;REF-01 · op.exp.8 R5;;;Pendiente;
Media;Mitigar R-006: Manipulación de programas/equipos (Red de electromedicina y modalidades);Residual M frente a un apetito B.;Análisis de riesgos;R-006;Responsable de Seguridad;2027-03-31;Pendiente;
Media;Mitigar R-008: Destrucción de información (Repositorio de copias de seguridad);Residual A frente a un apetito B.;Análisis de riesgos;R-008;Responsable de Seguridad;2027-03-31;Pendiente;
Media;Mitigar R-009: Ingeniería social (Personal sanitario y administrativo);Residual M frente a un apetito B.;Análisis de riesgos;R-009;Responsable de Seguridad;2027-03-31;Pendiente;
Media;Mitigar R-010: Fugas de información (Personal sanitario y administrativo);Residual M frente a un apetito B.;Análisis de riesgos;R-010;Responsable de Seguridad;2027-03-31;Pendiente;
Media;Mitigar R-011: Avería de origen físico o lógico (Red de electromedicina y modalidades);Residual M frente a un apetito B.;Análisis de riesgos;R-011;Responsable de Seguridad;2027-03-31;Pendiente;
Media;Corregir H-05: Phishing simulado: 12 % de clics;Corregir la vulnerabilidad y aportar evidencia del retest para cerrar las no conformidades asociadas.;Evidencia técnica;H-05;Responsable del Sistema;;Pendiente;
Media;Aceptar R-007: Vulnerabilidades de los programas (Servidor PACS);Residual M frente a un apetito B.;Análisis de riesgos;R-007;Responsable de la Información;;Pendiente;
Media;Tratar R-H-02: Acceso no autorizado (Red de electromedicina y modalidades);Residual M frente a un apetito B.;Análisis de riesgos;R-H-02;;;Pendiente;
