Prioridad;Acción;Detalle;Origen;Referencia;Responsable;Fecha límite;Estado;Nota
Alta;Corregir H-01: Inyección SQL en el buscador de expedientes del backoffice;Corregir la vulnerabilidad y aportar evidencia del retest para cerrar las no conformidades asociadas.;Evidencia técnica;H-01;Responsable del Sistema;;Pendiente;
Alta;Corregir H-02: Panel de administración de la sede accesible sin doble factor;Corregir la vulnerabilidad y aportar evidencia del retest para cerrar las no conformidades asociadas.;Evidencia técnica;H-02;Responsable del Sistema;;Pendiente;
Alta;Corregir H-04: Credenciales por defecto en las interfaces iDRAC de los servidores;Corregir la vulnerabilidad y aportar evidencia del retest para cerrar las no conformidades asociadas.;Evidencia técnica;H-04;Responsable del Sistema;;Pendiente;
Alta;Corregir H-05: Phishing simulado: 18 % de clics y 6 % de credenciales entregadas;Corregir la vulnerabilidad y aportar evidencia del retest para cerrar las no conformidades asociadas.;Evidencia técnica;H-05;Responsable del Sistema;;Pendiente;
Alta;Corregir H-06: Firmware del cortafuegos de respaldo con CVE crítica sin parchear;Corregir la vulnerabilidad y aportar evidencia del retest para cerrar las no conformidades asociadas.;Evidencia técnica;H-06;Responsable del Sistema;;Pendiente;
Alta;La SoA declara implantada una medida que el análisis de riesgos valora inmadura · mp.com.2;"Revisar una de las dos fuentes: o se rebaja el estado en la SoA con acción PTR, o se actualiza la madurez de la salvaguarda con evidencias.";Auditoría;AR-01 · mp.com.2;;;Pendiente;
Alta;La SoA declara implantada una medida que el análisis de riesgos valora inmadura · mp.per.3;"Revisar una de las dos fuentes: o se rebaja el estado en la SoA con acción PTR, o se actualiza la madurez de la salvaguarda con evidencias.";Auditoría;AR-01 · mp.per.3;;;Pendiente;
Alta;La SoA declara implantada una medida que el análisis de riesgos valora inmadura · mp.per.4;"Revisar una de las dos fuentes: o se rebaja el estado en la SoA con acción PTR, o se actualiza la madurez de la salvaguarda con evidencias.";Auditoría;AR-01 · mp.per.4;;;Pendiente;
Alta;La SoA declara implantada una medida que el análisis de riesgos valora inmadura · op.acc.3;"Revisar una de las dos fuentes: o se rebaja el estado en la SoA con acción PTR, o se actualiza la madurez de la salvaguarda con evidencias.";Auditoría;AR-01 · op.acc.3;;;Pendiente;
Media;Mitigar R-005: Fugas de información (Base de datos de expedientes ciudadanos);Residual A frente a un apetito M.;Análisis de riesgos;R-005;Responsable de Seguridad;2027-01-31;Pendiente;
Media;Mitigar R-008: Caída por agotamiento de recursos (Servicio web Sede Electrónica);Residual A frente a un apetito M.;Análisis de riesgos;R-008;Responsable de Seguridad;2027-03-31;Pendiente;
Media;Corregir H-03: TLS 1.0 y 1.1 habilitados en el balanceador del portal;Corregir la vulnerabilidad y aportar evidencia del retest para cerrar las no conformidades asociadas.;Evidencia técnica;H-03;Responsable del Sistema;;Pendiente;
Media;Aceptar R-002: Modificación deliberada de la información (Base de datos de expedientes ciudadanos);Residual A frente a un apetito M.;Análisis de riesgos;R-002;Responsable de la Información;;Pendiente;
Media;Tratar R-H-04: Acceso no autorizado (Servidores de aplicación (clúster));Residual A frente a un apetito M.;Análisis de riesgos;R-H-04;;;Pendiente;
Media;Tratar R-H-06: Vulnerabilidades de los programas (Clúster de cortafuegos del CPD de respaldo);Residual A frente a un apetito M.;Análisis de riesgos;R-H-06;;;Pendiente;
Media;Valor de categorización no válido · S-01 · D;Corregir la valoración con criterio del Responsable de la Información (CCN-STIC 803) y volver a aprobar la categorización en el CSI.;Auditoría;CAT-01 · S-01 · D;;;Pendiente;
Media;Valor de categorización no válido · S-04 · D;Corregir la valoración con criterio del Responsable de la Información (CCN-STIC 803) y volver a aprobar la categorización en el CSI.;Auditoría;CAT-01 · S-04 · D;;;Pendiente;
